Title,tags
City of God,drama crime alexandrerodrigu leandrofirmino phellipehaagensen hanklevin in slum rio two kid path diverg one struggl becom photograph kingpin streetgang photograph gangster riodejaneiro gangwar ghetto comingofag womandirector introspect critic tens conceit sincer
One Flew Over the Cuckoo's Nest,drama jacknicholson braddourif louisefletch milošforman a petti crimin fake insan serv sentenc mental ward rather prison he soon find leader patients—and enemi cruel domin nurs run ward mentallydis friendship basedonnovelorbook nurs lunaticasylum insaneasylum oregonusa hospit medic femalevillain shocktreat
Once Upon a Time in America,drama crime robertdeniro jameswood elizabethmcgovern sergioleon a former prohibitionera jewish gangster return lower east side manhattan thirti year later must confront ghost regret old life newyorkc regret lovesick rape lifeanddeath sexualabus streetgang corrupt basedonnovelorbook prohibitionera gangster sadist moneylaund opium mafiaboss murder memori jewishamerican tortur brooklynbridg childhoodfriend 1920 1960 1930
Gabriel's Inferno,romanc drama melaniezanetti giulioberruti kurtmckinney toscamusk an intrigu sin explor seduct forbidden love redempt gabriel inferno captiv wildli passion tale one man escap person hell tri earn impossibleforg love
Primal: Tales of Savagery,action adventur anim drama aaronlaplant jonolson bryanandrew genndytartakovski genndi tartakovski primal tale savageri featur caveman dinosaur brink extinct bond tragedi unlik friendship becom hope surviv
The Lord of the Rings: The Fellowship of the Ring,adventur fantasi action elijahwood ianmckellen viggomortensen peterjackson young hobbit frodo baggin inherit mysteri ring uncl bilbo must leav home order keep fall hand evil creator along way fellowship form protect ringbear make sure ring arriv final destin mt doom place destroy basedonnovelorbook orc elv dwarf magic obsess braveri firework mine maze mountain castl birthdayparti battl demon blizzard unclenephewrelationship fantasyworld journey ring invis liveactionandanim herosjourney wraith swordandsorceri trek goodversusevil creatur epicquest hobbit troll
Hope,drama solkyunggu uhmjiwon leer byunbonghyun after 8yearold sowon narrowli surviv brutal sexual assault famili labor help heal cope rage grief childabus hope basedontruestori sexualassault southkorea
Spider-Man: Into the Spider-Verse,anim action adventur sciencefict shameikmoor jakejohnson haileesteinfeld phillord struggl find place world juggl school famili brooklyn teenag mile moral unexpectedli bitten radioact spider develop unfathom power like one spiderman while wrestl implic new abil mile discov super collid creat madman wilson kingpin fisk caus other across spidervers inadvert transport dimens superhero basedoncom aftercreditssting alternateunivers
Howl's Moving Castle,fantasi anim adventur chiekobaisho takuyakimura akihiromiwa hayaomiyazaki sophi young millin turn elderli woman witch enter shop curs her she encount wizard name howl get caught resist fight king witch fli rain castl scarecrow bodyexchang hatter bakeri curs steampunk demon anim basedonyoungadultnovel
Gabriel's Inferno: Part II,romanc drama melaniezanetti giulioberruti jamesandrewfras michaelbuttiglieri professor gabriel emerson final learn truth julia mitchel ident realiz come moment late julia done wait wellrespect dant specialist rememb want noth him can gabriel win back heart find love anoth arm basedonnovelorbook
A Dog's Will,comedi drama fantasi matheusnachtergael seltonmello rogériocardoso guelarra the live joão grilo sli chicó poor guy live hinterland cheat bunch peopl small northeastern brazil when die judg christ devil virgin mari admit paradis
The Lord of the Rings: The Two Towers,adventur fantasi action elijahwood ianmckellen viggomortensen barriemosborn frodo baggin member fellowship continu sacr quest destroy one ringbut separ path their destini lie two towersorthanc tower isengard corrupt wizard saruman await sauron fortress baraddur deep within dark land mordor frodo sam trek mordor destroy one ring power gimli legola aragorn search orccaptur merri pippin all along nefari wizard saruman await fellowship member orthanc tower isengard mission armi basedonnovelorbook orc elv dwarf magic obsess braveri castl reincarn sequel battl brutal guid splitperson marsh fantasyworld wizard journey ring liveactionandanim herosjourney highfantasi wraith swordandsorceri trek evilspel goodversusevil creatur tree wingedcreatur hobbit
The Legend of Hei,anim fantasi action shanxin liumingyu haoxianghai mtjj when cat spirit luo xiaohei home deforest human must find new one he run group spirit creatur take wing dream reconqu land say right their howev run human known wuxian separ luo xiaohei spirit two go journey cat spirit learn control abil well form thought whether alli spirit human monster magic cat shapeshift dilemma betray anim environment journey anim wander
Taylor Swift: Reputation Stadium Tour,music taylorswift charlixcx camilacabello pauldugdal taylor swift take stage dalla reput stadium tour celebr monument night music memori visual magic concert liveperform concertfilm
